,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,altitude,pressure,t,td,dd,ff,Unnamed: 10
0,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,1009.0,24.2,23.4,0.0,,
1,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,1004.0,23.8,21.9,,,
2,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,81.0,1000.0,23.8,21.6,285.0,5.1,
3,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,992.0,25.0,21.0,,,
4,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,978.0,24.8,20.4,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,976.0,,,295.0,4.6,
6,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,943.0,,,340.0,2.6,
7,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,768.0,925.0,21.4,18.5,350.0,3.1,
8,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,897.0,19.2,17.3,,,
9,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,1500.0,850.0,16.6,14.1,360.0,0.5,
10,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,820.0,,,15.0,2.1,
11,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,793.0,15.4,9.4,,,
12,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,737.0,,,20.0,5.1,
13,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,3130.0,700.0,9.8,3.8,40.0,5.7,
14,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,684.0,9.2,4.4,,,
15,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,638.0,,,55.0,6.7,
16,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,592.0,,,65.0,5.1,
17,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,581.0,0.0,-2.3,,,
18,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,521.0,-4.3,-9.1,,,
19,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,510.0,,,105.0,6.2,
20,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,503.0,-6.1,-9.2,,,
21,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,5850.0,500.0,-6.1,-10.6,105.0,6.2,
22,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,498.0,-6.3,-12.3,,,
23,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,493.0,-6.7,-11.1,,,
24,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,485.0,-7.5,-13.5,,,
25,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,472.0,-9.3,-11.1,,,
26,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,452.0,-11.1,-12.5,,,
27,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,436.0,,,110.0,7.7,
28,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,427.0,-13.3,-18.1,,,
29,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,418.0,-14.3,-18.3,,,
30,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,413.0,-14.3,-20.3,,,
31,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,412.0,-14.5,-24.5,,,
32,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,7560.0,400.0,-15.9,-24.9,110.0,4.6,
33,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,397.0,-16.5,-24.5,,,
34,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,388.0,,,110.0,5.7,
35,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,387.0,-17.9,-23.9,,,
36,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,386.0,-18.1,-23.1,,,
37,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,383.0,-18.3,-23.3,,,
38,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,382.0,-18.5,-27.5,,,
39,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,381.0,-18.7,-26.7,,,
40,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,380.0,-18.7,-23.4,,,
41,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,378.0,-18.9,-26.9,,,
42,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,372.0,,,135.0,6.2,
43,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,360.0,-21.7,-27.7,,,
44,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,356.0,-21.7,-30.7,,,
45,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,348.0,-22.7,-34.7,,,
46,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,343.0,,,120.0,5.7,
47,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,342.0,-23.5,-37.5,,,
48,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,335.0,-24.7,-31.7,,,
49,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,329.0,,,85.0,6.2,
50,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,326.0,-26.1,-33.1,,,
51,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,321.0,-27.1,-30.1,,,
52,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,309.0,-29.3,-30.9,,,
53,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,,303.0,,,80.0,8.2,
