,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
0,96001,Sabang / Cut Bau (Indonesia),5.87,95.33,126,96001,5.87,95.33,20191119150000,1012.0,0.18,2.0,1012.0,,0.0,26.6,23.6,8000.0,2.0,1.0,1.0,6.0,3.0,5.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,96009,Lhokseumawe/Malikussaleh (Indonesia),5.22,96.94,87,96009,5.22,96.94,20191119150000,1010.9,0.11,2.0,1010.0,190.0,1.0,25.2,23.5,6000.0,13.0,2.0,2.0,7.0,3.0,4.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,96011,Banda Aceh / Blangbintang (Indonesia),5.51,95.42,21,96011,5.51,95.42,20191119150000,1009.3,-0.13,7.0,1009.0,130.0,2.1,24.6,24.0,9000.0,2.0,1.0,1.0,6.0,3.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,96015,Meulaboh / Cut Nyak Dhien (Indonesia),4.04,96.24,90,96015,4.04,96.24,20191119150000,1010.8,0.13,1.0,1010.0,,0.0,25.0,24.5,6000.0,29.0,9.0,6.0,8.0,5.0,4.0,3.0,2.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,96033,Belawan (Indonesia),3.79,98.69,3,96033,3.79,98.69,20191119150000,1010.9,0.19,2.0,1010.0,230.0,2.6,28.4,25.2,6000.0,5.0,1.0,1.0,5.0,2.0,4.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119150000,1010.8,0.2,2.0,1010.0,230.0,1.5,26.4,25.4,4000.0,5.0,2.0,2.0,7.0,3.0,4.0,5.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,96073,Sibolga / Pinangsori (Indonesia),1.55,98.89,3,96073,1.55,98.89,20191119150000,1011.7,0.36,2.0,1011.0,70.0,2.6,24.2,24.1,800.0,95.0,9.0,6.0,7.0,4.0,4.0,9.0,7.0,2.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,96075,Gunung Sitoli/Binaka (Indonesia),1.16,97.7,6,96075,1.16,97.7,20191119150000,1010.4,0.2,2.0,1010.0,,0.0,25.0,23.5,5000.0,2.0,1.0,1.0,6.0,4.0,4.0,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,96087,"Batan, Sumatra (Indonesia)",1.12,104.11,24,96087,1.12,104.11,20191119150000,1012.9,0.14,1.0,1012.0,,0.0,26.9,24.6,10000.0,2.0,1.0,1.0,7.0,3.0,4.0,5.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,96091,Tanjungpinang / Kijang (Indonesia),0.92,104.53,18,96091,0.92,104.53,20191119150000,1011.9,0.18,2.0,1011.0,30.0,2.1,26.8,24.5,7000.0,2.0,1.0,1.0,7.0,3.0,4.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
