,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
19,96237,Pangkalpinang / Pangkalpinang (Indonesia),-2.16,106.13,33,96237,-2.16,106.13,20191119060000,1009.7,,,1009.0,300.0,1.0,25.8,23.1,7000.0,95.0,9.0,6.0,8.0,4.0,4.0,9.0,7.0,8.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,96249,Tanjungpandan / Buluh Tumbang (Indonesia),-2.75,107.75,44,96249,-2.75,107.75,20191119060000,1008.9,-0.25,7.0,1008.0,80.0,3.6,30.8,23.6,9000.0,2.0,1.0,1.0,7.0,4.0,4.0,9.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
21,96253,Bengkulu / Padangkemiling (Indonesia),-3.86,102.33,16,96253,-3.86,102.33,20191119060000,1008.1,-0.18,7.0,1008.0,200.0,5.1,30.4,25.0,10000.0,14.0,2.0,2.0,6.0,3.0,4.0,9.0,7.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,96295,Tanjung Karang/Radin Inten Ii (Indonesia),-5.24,105.17,96,96295,-5.24,105.17,20191119060000,1008.7,-0.26,6.0,1008.0,30.0,4.1,34.6,19.4,10000.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
23,96505,Longbawan / Juvai Semaring (Indonesia),3.88,115.69,965,96505,3.88,115.69,20191119060000,1012.9,-0.42,6.0,1012.0,,0.0,29.3,20.6,10000.0,2.0,1.0,1.0,5.0,4.0,4.0,1.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,96509,Tarakan / Juwata (Indonesia),3.32,117.57,6,96509,3.32,117.57,20191119060000,1007.0,-0.26,7.0,1007.0,170.0,3.1,32.6,25.3,10000.0,2.0,1.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,96525,Tanjung Selor (Indonesia),2.83,117.37,50,96525,2.83,117.37,20191119060000,1006.5,-0.3,7.0,1006.0,80.0,4.1,34.0,24.7,10000.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,96529,Tanjung Redep / Berau (Indonesia),2.15,117.43,26,96529,2.15,117.43,20191119060000,1007.3,-0.29,6.0,1007.0,340.0,2.6,35.1,22.7,10000.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,96535,Paloh (Indonesia),1.76,109.3,15,96535,1.76,109.3,20191119060000,1009.8,-0.22,7.0,1009.0,350.0,2.1,29.6,24.7,10000.0,2.0,1.0,1.0,7.0,1.0,4.0,1.0,3.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,96557,Nangapinoh (Indonesia),-0.34,111.74,37,96557,-0.34,111.74,20191119060000,1008.6,-0.33,7.0,1008.0,220.0,2.6,31.5,24.2,10000.0,2.0,1.0,1.0,6.0,5.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
