,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
0,96001,Sabang / Cut Bau (Indonesia),5.87,95.33,126,96001,5.87,95.33,20191119120000,1010.2,0.04,2.0,1010.0,,0.0,27.6,24.4,8000.0,2.0,1.0,1.0,6.0,3.0,5.0,2.0,3.0,2.0,,,0.0,,,,,,,,30.6,,,,,,,,,,,,,,,,,
1,96009,Lhokseumawe/Malikussaleh (Indonesia),5.22,96.94,87,96009,5.22,96.94,20191119120000,1009.8,0.21,2.0,1009.0,220.0,1.5,27.1,24.9,6000.0,2.0,1.0,1.0,7.0,2.0,4.0,2.0,2.0,1.0,,,0.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,
2,96011,Banda Aceh / Blangbintang (Indonesia),5.51,95.42,21,96011,5.51,95.42,20191119120000,1009.7,0.16,2.0,1009.0,70.0,1.5,27.0,25.2,10000.0,2.0,9.0,6.0,6.0,3.0,4.0,8.0,2.0,1.0,,,0.0,,,,,,,,30.6,,,,,,,,,,,,,,,,,
3,96015,Meulaboh / Cut Nyak Dhien (Indonesia),4.04,96.24,90,96015,4.04,96.24,20191119120000,1009.5,0.15,1.0,1009.0,60.0,1.5,26.4,26.0,5000.0,21.0,9.0,6.0,7.0,6.0,4.0,9.0,4.0,0.0,,0.4,0.4,,,,,,,,30.9,,,,,,,,,,,,,,,,,
4,96033,Belawan (Indonesia),3.79,98.69,3,96033,3.79,98.69,20191119120000,1009.0,0.14,2.0,1009.0,20.0,4.6,29.0,24.4,6000.0,13.0,2.0,1.0,5.0,2.0,4.0,9.0,3.0,1.0,,,0.0,,,,,,,,32.4,,,,,,,,,,,,,,,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119120000,1008.8,0.13,3.0,1008.0,300.0,1.5,28.0,25.6,8000.0,13.0,2.0,2.0,7.0,4.0,4.0,9.0,7.0,6.0,,,0.0,,,,,,,,31.5,,,,,,,,,,,,,,,,,
6,96073,Sibolga / Pinangsori (Indonesia),1.55,98.89,3,96073,1.55,98.89,20191119120000,1008.1,0.09,2.0,1008.0,180.0,2.1,27.8,24.5,5000.0,21.0,9.0,6.0,7.0,4.0,4.0,9.0,2.0,2.0,,,0.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,
7,96075,Gunung Sitoli/Binaka (Indonesia),1.16,97.7,6,96075,1.16,97.7,20191119120000,1008.4,0.06,2.0,1008.0,,0.0,26.0,24.8,6000.0,2.0,1.0,1.0,5.0,2.0,4.0,5.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,96087,"Batan, Sumatra (Indonesia)",1.12,104.11,24,96087,1.12,104.11,20191119120000,1011.5,0.19,1.0,1011.0,10.0,1.0,28.5,24.1,10000.0,2.0,1.0,1.0,7.0,3.0,4.0,3.0,0.0,8.0,,,0.0,,,,,,,,32.6,,,,,,,,,,,,,,,,,
9,96091,Tanjungpinang / Kijang (Indonesia),0.92,104.53,18,96091,0.92,104.53,20191119120000,1010.1,0.17,2.0,1010.0,,0.0,28.0,24.3,10000.0,2.0,9.0,2.0,6.0,2.0,4.0,2.0,7.0,1.0,,,0.0,,,,,,,,30.5,,,,,,,,,,,,,,,,,
10,96109,Pakanbaru / Simpangtiga (Indonesia),0.46,101.44,31,96109,0.46,101.44,20191119120000,1008.4,0.17,3.0,1008.0,,0.0,24.8,24.5,8000.0,2.0,9.0,6.0,6.0,2.0,4.0,5.0,3.0,2.0,,0.0,6.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,
11,96145,Tarempa (Indonesia),3.21,106.21,3,96145,3.21,106.21,20191119120000,1009.5,0.15,3.0,1009.0,10.0,0.5,27.8,24.6,5000.0,5.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,1.0,,,0.0,,,,,,,,30.4,,,,,,,,,,,,,,,,,
12,96147,Ranai / Ranai (Indonesia),3.91,108.39,2,96147,3.91,108.39,20191119120000,1009.4,0.1,2.0,1009.0,340.0,1.5,26.1,23.7,10000.0,0.0,,,4.0,,5.0,,,,,,,0.5,,,,,,23.5,30.7,,,,,,,,,,,,,,,,,
13,96163,Mia Padang (Indonesia),-0.78,100.28,3,96163,-0.78,100.28,20191119120000,1009.2,0.15,2.0,1009.0,150.0,1.5,27.6,24.7,10000.0,2.0,1.0,1.0,8.0,4.0,5.0,5.0,3.0,1.0,,,0.0,,,,,,,,30.3,,,,,,,,,,,,,,,,,
14,96171,Rengat/Japura (Indonesia),-0.34,102.33,46,96171,-0.34,102.33,20191119120000,1009.5,0.24,3.0,1009.0,,0.0,24.7,24.2,,,,,,,,,,,,4.0,4.0,,,,,,,,32.8,,,,,,,,,,,,,,,,,
15,96179,Singkep / Dabo (Indonesia),-0.47,104.57,31,96179,-0.47,104.57,20191119120000,1009.4,0.14,1.0,1009.0,260.0,1.0,24.2,23.9,8000.0,2.0,9.0,6.0,7.0,3.0,4.0,2.0,2.0,8.0,,2.0,26.0,,,,,,,,31.5,,,,,,,,,,,,,,,,,
16,96195,Jambi / Sultan Taha (Indonesia),-1.63,103.64,25,96195,-1.63,103.64,20191119120000,1009.2,0.19,2.0,1009.0,,0.0,26.4,23.9,10000.0,2.0,1.0,1.0,6.0,2.0,4.0,9.0,3.0,2.0,,,0.0,,,,,,,,31.4,,,,,,,,,,,,,,,,,
17,96207,Kerinci / Depati Parbo (Indonesia),-2.09,101.46,782,96207,-2.09,101.46,20191119120000,1013.1,0.19,2.0,1013.0,120.0,1.0,23.0,21.4,4000.0,17.0,9.0,9.0,8.0,4.0,4.0,9.0,2.0,2.0,,5.0,11.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,
18,96221,Palembang / Talangbetutu (Indonesia),-2.89,104.7,10,96221,-2.89,104.7,20191119120000,1009.9,0.18,3.0,1009.0,,0.0,25.3,24.6,7000.0,21.0,9.0,6.0,8.0,4.0,4.0,8.0,7.0,,,5.0,39.0,,,,,,,,31.5,,,,,,,,,,,,,,,,,
19,96237,Pangkalpinang / Pangkalpinang (Indonesia),-2.16,106.13,33,96237,-2.16,106.13,20191119120000,1009.9,0.12,1.0,1009.0,280.0,0.5,24.7,23.5,7000.0,1.0,9.0,2.0,7.0,3.0,4.0,3.0,1.0,8.0,,2.0,2.0,,,,,,,,29.8,,,,,,,,,,,,,,,,,
20,96249,Tanjungpandan / Buluh Tumbang (Indonesia),-2.75,107.75,44,96249,-2.75,107.75,20191119120000,1010.2,0.13,2.0,1010.0,,0.0,26.3,24.1,7000.0,2.0,9.0,2.0,7.0,3.0,5.0,2.0,3.0,2.0,,,0.0,,,,,,,,31.8,,,,,,,,,,,,,,,,,
21,96253,Bengkulu / Padangkemiling (Indonesia),-3.86,102.33,16,96253,-3.86,102.33,20191119120000,1008.9,0.21,2.0,1008.0,150.0,3.1,26.6,24.2,8000.0,2.0,9.0,6.0,7.0,2.0,4.0,8.0,7.0,2.0,,0.0,0.2,,,,,,,,31.8,,,,,,,,,,,,,,,,,
22,96295,Tanjung Karang/Radin Inten Ii (Indonesia),-5.24,105.17,96,96295,-5.24,105.17,20191119120000,1009.3,0.24,1.0,1009.0,70.0,3.6,30.4,20.9,10000.0,2.0,1.0,1.0,7.0,4.0,4.0,5.0,2.0,1.0,,,0.0,,,,,,,,35.4,,,,,,,,,,,,,,,,,
23,96509,Tarakan / Juwata (Indonesia),3.32,117.57,6,96509,3.32,117.57,20191119120000,1008.4,0.19,2.0,1008.0,100.0,2.6,28.5,25.2,8000.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,,,0.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,
24,96525,Tanjung Selor (Indonesia),2.83,117.37,50,96525,2.83,117.37,20191119120000,1008.2,0.21,2.0,1008.0,,0.0,28.0,24.2,8000.0,2.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,,,0.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,
25,96529,Tanjung Redep / Berau (Indonesia),2.15,117.43,26,96529,2.15,117.43,20191119120000,1009.4,0.27,1.0,1009.0,120.0,1.5,27.6,24.7,8000.0,2.0,1.0,1.0,6.0,4.0,4.0,1.0,2.0,1.0,,,0.0,,,,,,,,35.6,,,,,,,,,,,,,,,,,
26,96535,Paloh (Indonesia),1.76,109.3,15,96535,1.76,109.3,20191119120000,1010.7,0.22,1.0,1010.0,,0.0,26.7,24.8,10000.0,2.0,1.0,1.0,6.0,1.0,4.0,1.0,3.0,2.0,,,0.0,,,,,,,,30.7,,,,,,,,,,,,,,,,,
