,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
0,96001,Sabang / Cut Bau (Indonesia),5.87,95.33,126,96001,5.87,95.33,20191119000000,1011.4,0.07,1.0,1011.0,,0.0,24.6,23.9,6000.0,2.0,6.0,2.0,8.0,4.0,4.0,2.0,7.0,2.0,,17.0,,,17.0,,,,,23.4,,,,,,,,,,,,,,,,,,
1,96009,Lhokseumawe/Malikussaleh (Indonesia),5.22,96.94,87,96009,5.22,96.94,20191119000000,1010.4,0.05,2.0,1010.0,190.0,1.0,23.7,22.9,6000.0,17.0,9.0,6.0,7.0,3.0,4.0,9.0,2.0,1.0,,0.0,,,0.8,,,,,23.6,,,,,,,,,,,,,,,,,,
2,96011,Banda Aceh / Blangbintang (Indonesia),5.51,95.42,21,96011,5.51,95.42,20191119000000,1009.8,0.06,2.0,1009.0,110.0,1.5,24.2,23.2,9000.0,2.0,1.0,1.0,6.0,3.0,4.0,9.0,3.0,1.0,,,,,14.0,,,,,24.0,,,,,,,,,,,,,,,,,,
3,96015,Meulaboh / Cut Nyak Dhien (Indonesia),4.04,96.24,90,96015,4.04,96.24,20191119000000,1010.3,0.11,2.0,1010.0,70.0,1.0,24.3,24.2,4000.0,10.0,9.0,2.0,7.0,5.0,4.0,9.0,7.0,4.0,,,,,12.0,,,,,23.7,,,,,,,,,,,,,,,,,,
4,96033,Belawan (Indonesia),3.79,98.69,3,96033,3.79,98.69,20191119000000,1010.2,0.08,2.0,1010.0,240.0,3.6,25.4,23.3,5000.0,5.0,6.0,2.0,7.0,2.0,4.0,8.0,2.0,8.0,,,,,0.8,,,,,25.0,,,,,,,,,,,,,,,,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119000000,1009.9,0.08,2.0,1009.0,260.0,2.1,24.4,23.5,4000.0,10.0,2.0,2.0,7.0,3.0,4.0,5.0,7.0,6.0,,,,,0.0,,,,,24.2,,,,,,,,,,,,,,,,,,
6,96073,Sibolga / Pinangsori (Indonesia),1.55,98.89,3,96073,1.55,98.89,20191119000000,1010.2,0.14,1.0,1010.0,,0.0,24.2,23.6,7000.0,2.0,1.0,1.0,7.0,3.0,5.0,5.0,2.0,2.0,,,,,10.0,,,,,22.6,,,,,,,,,,,,,,,,,,
7,96075,Gunung Sitoli/Binaka (Indonesia),1.16,97.7,6,96075,1.16,97.7,20191119000000,1010.5,0.08,2.0,1010.0,120.0,2.1,23.9,23.8,5000.0,95.0,9.0,6.0,7.0,5.0,4.0,9.0,7.0,1.0,,1.0,,,31.0,,,,,23.9,,,,,,,,,,,,,,,,,,
8,96087,"Batan, Sumatra (Indonesia)",1.12,104.11,24,96087,1.12,104.11,20191119000000,1012.5,0.19,1.0,1012.0,,0.0,26.8,25.2,10000.0,17.0,2.0,2.0,7.0,4.0,4.0,3.0,1.0,8.0,,,,,0.0,,,,,25.9,,,,,,,,,,,,,,,,,,
9,96091,Tanjungpinang / Kijang (Indonesia),0.92,104.53,18,96091,0.92,104.53,20191119000000,1011.5,0.16,2.0,1011.0,10.0,2.1,26.0,24.6,10000.0,17.0,9.0,2.0,7.0,4.0,4.0,9.0,2.0,8.0,,,,,0.1,,,,,24.3,,,,,,,,,,,,,,,,,,
