,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
0,96001,Sabang / Cut Bau (Indonesia),5.87,95.33,126,96001,5.87,95.33,20191119090000,1009.8,-0.17,6.0,1009.0,,0.0,28.4,24.6,8000.0,2.0,1.0,1.0,6.0,3.0,5.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,96009,Lhokseumawe/Malikussaleh (Indonesia),5.22,96.94,87,96009,5.22,96.94,20191119090000,1007.7,-0.21,7.0,1007.0,20.0,2.6,29.7,24.7,6000.0,2.0,1.0,1.0,6.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,96011,Banda Aceh / Blangbintang (Indonesia),5.51,95.42,21,96011,5.51,95.42,20191119090000,1008.1,-0.15,7.0,1008.0,240.0,1.5,27.6,23.8,10000.0,1.0,9.0,6.0,7.0,4.0,4.0,8.0,2.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,96015,Meulaboh / Cut Nyak Dhien (Indonesia),4.04,96.24,90,96015,4.04,96.24,20191119090000,1008.0,-0.19,6.0,1008.0,200.0,2.1,29.3,27.1,6000.0,17.0,9.0,2.0,7.0,5.0,4.0,9.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,96033,Belawan (Indonesia),3.79,98.69,3,96033,3.79,98.69,20191119090000,1007.6,-0.24,7.0,1007.0,50.0,4.1,30.2,24.4,10000.0,2.0,1.0,1.0,6.0,2.0,4.0,9.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119090000,1007.5,-0.19,7.0,1007.0,10.0,2.1,29.9,25.1,10000.0,2.0,1.0,1.0,6.0,3.0,4.0,2.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,96073,Sibolga / Pinangsori (Indonesia),1.55,98.89,3,96073,1.55,98.89,20191119090000,1007.2,-0.15,6.0,1007.0,240.0,2.6,27.6,24.6,8000.0,21.0,6.0,2.0,7.0,3.0,4.0,9.0,2.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,96075,Gunung Sitoli/Binaka (Indonesia),1.16,97.7,6,96075,1.16,97.7,20191119090000,1007.8,-0.22,7.0,1007.0,260.0,1.5,28.5,25.3,8000.0,2.0,1.0,1.0,7.0,4.0,4.0,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,96087,"Batan, Sumatra (Indonesia)",1.12,104.11,24,96087,1.12,104.11,20191119090000,1009.6,-0.09,6.0,1009.0,50.0,3.6,30.4,23.8,10000.0,2.0,1.0,1.0,7.0,1.0,4.0,5.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,96091,Tanjungpinang / Kijang (Indonesia),0.92,104.53,18,96091,0.92,104.53,20191119090000,1008.5,-0.09,7.0,1008.0,30.0,4.1,29.6,24.2,10000.0,29.0,9.0,2.0,6.0,5.0,4.0,3.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
