,Station Number,Station Name,latitude,longitude,Elevation,#id,lat,lon,date,mslp,tend,ctend,QNH,dd,ff,t,td,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,rr1,rr3,rr6,rr12,rr24,tmin10,rayg01,tn12,tx12,tn24,tx24,n1,n1type,n1h,n2,n2type,n2h,n3,n3type,n3h,n4,n4type,n4h,htsnow,frsnow,rr_per,tmer,Unnamed: 49
0,96001,Sabang / Cut Bau (Indonesia),5.87,95.33,126,96001,5.87,95.33,20191119030000,1013.3,0.19,2.0,1013.0,140.0,3.6,27.4,24.2,7000.0,2.0,1.0,1.0,8.0,4.0,5.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,96009,Lhokseumawe/Malikussaleh (Indonesia),5.22,96.94,87,96009,5.22,96.94,20191119030000,1011.4,0.1,2.0,1011.0,190.0,6.2,29.0,24.7,7000.0,2.0,9.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,96011,Banda Aceh / Blangbintang (Indonesia),5.51,95.42,21,96011,5.51,95.42,20191119030000,1011.9,0.21,2.0,1011.0,150.0,3.1,28.8,24.4,10000.0,2.0,1.0,1.0,6.0,3.0,5.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,96015,Meulaboh / Cut Nyak Dhien (Indonesia),4.04,96.24,90,96015,4.04,96.24,20191119030000,1011.9,0.16,1.0,1011.0,30.0,0.5,27.9,27.6,7000.0,2.0,1.0,1.0,7.0,4.0,4.0,5.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,96033,Belawan (Indonesia),3.79,98.69,3,96033,3.79,98.69,20191119030000,1012.2,0.2,2.0,1012.0,60.0,1.5,28.8,23.6,10000.0,2.0,1.0,1.0,7.0,2.0,4.0,9.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,96035,Kualanamu Medan (Indonesia),3.64,98.87,25,96035,3.64,98.87,20191119030000,1011.8,0.19,2.0,1011.0,280.0,2.6,29.1,25.5,10000.0,2.0,1.0,1.0,7.0,3.0,4.0,5.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,96073,Sibolga / Pinangsori (Indonesia),1.55,98.89,3,96073,1.55,98.89,20191119030000,1011.9,0.17,1.0,1011.0,,0.0,28.0,24.1,10000.0,2.0,1.0,1.0,7.0,3.0,4.0,9.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,96075,Gunung Sitoli/Binaka (Indonesia),1.16,97.7,6,96075,1.16,97.7,20191119030000,1011.6,0.11,2.0,1011.0,,0.0,24.8,24.6,8000.0,61.0,9.0,6.0,7.0,4.0,4.0,9.0,7.0,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,96087,"Batan, Sumatra (Indonesia)",1.12,104.11,24,96087,1.12,104.11,20191119030000,1013.1,0.06,0.0,1013.0,,0.0,27.6,24.8,10000.0,21.0,9.0,6.0,7.0,4.0,4.0,5.0,1.0,8.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,96091,Tanjungpinang / Kijang (Indonesia),0.92,104.53,18,96091,0.92,104.53,20191119030000,1011.9,0.04,1.0,1011.0,340.0,3.1,30.5,24.9,10000.0,2.0,9.0,2.0,7.0,3.0,4.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,96109,Pakanbaru / Simpangtiga (Indonesia),0.46,101.44,31,96109,0.46,101.44,20191119030000,1011.2,0.1,1.0,1011.0,180.0,3.1,28.1,24.4,8000.0,2.0,1.0,1.0,7.0,5.0,4.0,5.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,96145,Tarempa (Indonesia),3.21,106.21,3,96145,3.21,106.21,20191119030000,1011.0,0.04,1.0,1011.0,160.0,1.5,28.2,25.6,5000.0,21.0,6.0,2.0,6.0,5.0,4.0,8.0,1.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,96147,Ranai / Ranai (Indonesia),3.91,108.39,2,96147,3.91,108.39,20191119030000,1011.5,0.06,2.0,1011.0,10.0,3.6,28.6,25.5,10000.0,0.0,,,2.0,,4.0,,,,,,,,,,,,,23.5,28.6,,,,,,,,,,,,,,,,,
13,96163,Mia Padang (Indonesia),-0.78,100.28,3,96163,-0.78,100.28,20191119030000,1011.4,0.15,1.0,1011.0,240.0,3.6,29.3,25.1,10000.0,2.0,1.0,1.0,6.0,2.0,5.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,96171,Rengat/Japura (Indonesia),-0.34,102.33,46,96171,-0.34,102.33,20191119030000,1011.6,0.14,2.0,1011.0,,0.0,26.4,24.0,7000.0,2.0,1.0,1.0,7.0,5.0,4.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,96179,Singkep / Dabo (Indonesia),-0.47,104.57,31,96179,-0.47,104.57,20191119030000,1010.3,-0.01,8.0,1010.0,10.0,2.6,29.1,25.0,9000.0,2.0,6.0,2.0,7.0,3.0,4.0,2.0,2.0,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,96195,Jambi / Sultan Taha (Indonesia),-1.63,103.64,25,96195,-1.63,103.64,20191119030000,1011.6,0.08,2.0,1011.0,140.0,1.5,25.6,23.7,6000.0,5.0,2.0,2.0,8.0,5.0,4.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,96207,Kerinci / Depati Parbo (Indonesia),-2.09,101.46,782,96207,-2.09,101.46,20191119030000,1015.0,0.05,2.0,1015.0,90.0,1.0,26.8,19.4,8000.0,2.0,1.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,96221,Palembang / Talangbetutu (Indonesia),-2.89,104.7,10,96221,-2.89,104.7,20191119030000,1011.6,0.08,1.0,1011.0,180.0,0.5,28.5,24.3,4000.0,4.0,2.0,2.0,8.0,5.0,4.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,96237,Pangkalpinang / Pangkalpinang (Indonesia),-2.16,106.13,33,96237,-2.16,106.13,20191119030000,1010.7,0.03,0.0,1010.0,60.0,3.1,29.8,24.5,10000.0,17.0,9.0,9.0,7.0,3.0,4.0,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,96249,Tanjungpandan / Buluh Tumbang (Indonesia),-2.75,107.75,44,96249,-2.75,107.75,20191119030000,1011.4,0.03,2.0,1011.0,80.0,2.6,29.8,25.2,9000.0,2.0,1.0,1.0,7.0,4.0,4.0,9.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,96253,Bengkulu / Padangkemiling (Indonesia),-3.86,102.33,16,96253,-3.86,102.33,20191119030000,1009.9,0.07,0.0,1009.0,130.0,2.6,29.8,24.4,10000.0,2.0,1.0,1.0,4.0,2.0,5.0,8.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,96295,Tanjung Karang/Radin Inten Ii (Indonesia),-5.24,105.17,96,96295,-5.24,105.17,20191119030000,1011.3,0.07,2.0,1011.0,20.0,2.6,31.3,19.3,10000.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,96505,Longbawan / Juvai Semaring (Indonesia),3.88,115.69,965,96505,3.88,115.69,20191119030000,1017.1,-0.1,8.0,1017.0,,0.0,24.6,20.0,7000.0,2.0,1.0,1.0,6.0,5.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,96509,Tarakan / Juwata (Indonesia),3.32,117.57,6,96509,3.32,117.57,20191119030000,1009.6,-0.15,7.0,1009.0,200.0,2.6,31.0,25.6,10000.0,2.0,1.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,96525,Tanjung Selor (Indonesia),2.83,117.37,50,96525,2.83,117.37,20191119030000,1009.5,-0.13,8.0,1009.0,,0.0,32.0,25.2,8000.0,2.0,1.0,1.0,5.0,3.0,4.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,96529,Tanjung Redep / Berau (Indonesia),2.15,117.43,26,96529,2.15,117.43,20191119030000,1010.2,,,1010.0,50.0,2.1,32.7,24.1,9000.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,96535,Paloh (Indonesia),1.76,109.3,15,96535,1.76,109.3,20191119030000,1012.0,0.0,0.0,1012.0,30.0,2.1,29.2,24.6,10000.0,2.0,1.0,1.0,7.0,2.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,96557,Nangapinoh (Indonesia),-0.34,111.74,37,96557,-0.34,111.74,20191119030000,1011.9,-0.07,7.0,1011.0,170.0,1.0,27.4,23.6,5000.0,5.0,2.0,2.0,6.0,5.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,96559,Sintang (Indonesia),0.06,111.47,30,96559,0.06,111.47,20191119030000,1011.5,-0.04,8.0,1011.0,140.0,1.5,28.0,23.8,8000.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,96565,Putusibau (Indonesia),0.83,112.93,34,96565,0.83,112.93,20191119030000,1012.8,0.06,0.0,1012.0,,0.0,29.2,23.4,8000.0,2.0,1.0,1.0,7.0,5.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,96581,Pontianak / Supadio (Indonesia),-0.14,109.4,3,96581,-0.14,109.4,20191119030000,1011.3,0.0,0.0,1011.0,40.0,2.1,28.1,24.8,10000.0,2.0,4.0,2.0,7.0,5.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,96595,Muaratewe / Beringin (Indonesia),-0.94,114.89,60,96595,-0.94,114.89,20191119030000,1010.7,-0.1,8.0,1010.0,210.0,1.5,29.8,24.8,9000.0,2.0,1.0,1.0,7.0,5.0,4.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,96607,Samarinda / Temindung (Indonesia),-0.48,117.15,230,96607,-0.48,117.15,20191119030000,1011.0,-0.07,8.0,1011.0,340.0,3.1,30.8,23.9,10000.0,2.0,6.0,2.0,6.0,4.0,4.0,2.0,2.0,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,96615,Ketapang / Rahadi Usmaman (Indonesia),-1.81,109.96,9,96615,-1.81,109.96,20191119030000,1009.5,-0.23,8.0,1009.0,310.0,3.6,31.0,24.5,10000.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,96633,Balikpapan / Sepinggan (Indonesia),-1.26,116.89,3,96633,-1.26,116.89,20191119030000,1010.1,-0.07,8.0,1010.0,100.0,1.5,28.2,25.1,8000.0,17.0,9.0,2.0,7.0,4.0,4.0,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,96645,Pangkalan Bun/Iskandar (Indonesia),-2.7,111.66,25,96645,-2.7,111.66,20191119030000,1010.9,-0.1,7.0,1010.0,330.0,2.6,29.6,23.9,9000.0,2.0,1.0,1.0,7.0,4.0,4.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,96655,Palangka Raya/Tjilik Riwut (Indonesia),-2.22,113.94,27,96655,-2.22,113.94,20191119030000,1012.6,-0.1,7.0,1012.0,240.0,2.1,29.5,23.9,8000.0,2.0,1.0,1.0,6.0,5.0,4.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,96685,Banjarmasin / Syamsuddin Noor (Indonesia),-3.43,114.75,20,96685,-3.43,114.75,20191119030000,1010.4,-0.12,8.0,1010.0,320.0,1.5,29.4,24.5,6000.0,2.0,1.0,1.0,7.0,4.0,4.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,96695,Kotabaru (Indonesia),-3.29,116.16,18,96695,-3.29,116.16,20191119030000,1009.9,-0.12,8.0,1009.0,140.0,2.1,30.6,24.6,8000.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,96737,Serang (Indonesia),-6.11,106.13,40,96737,-6.11,106.13,20191119030000,1009.7,0.02,0.0,1009.0,70.0,1.0,31.8,23.0,7000.0,2.0,1.0,1.0,6.0,5.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,96739,Curug / Budiarto (Indonesia),-6.29,106.56,46,96739,-6.29,106.56,20191119030000,1011.2,-0.03,7.0,1011.0,60.0,2.6,32.3,22.9,10000.0,2.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,96741,Jakarta / Tanjung Priok (Indonesia),-6.09,106.86,2,96741,-6.09,106.86,20191119030000,1010.7,0.0,4.0,1010.0,60.0,3.1,31.6,23.6,10000.0,2.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,96745,Jakarta / Observatory (Indonesia),-6.18,106.83,8,96745,-6.18,106.83,20191119030000,1009.8,-0.11,7.0,1009.0,180.0,2.6,31.8,23.0,8000.0,2.0,1.0,1.0,5.0,1.0,5.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,96749,Jakarta / Soekarno-Hatta (Indonesia),-6.12,106.65,8,96749,-6.12,106.65,20191119030000,1010.8,-0.03,8.0,1010.0,30.0,3.1,33.0,21.8,10000.0,2.0,1.0,1.0,6.0,3.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,96751,Citeko / Puncak (Indonesia),-6.69,106.93,920,96751,-6.69,106.93,20191119030000,1010.3,0.02,0.0,1010.0,90.0,2.1,26.9,18.0,10000.0,2.0,1.0,1.0,5.0,2.0,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,96781,Bandung / Husein (Indonesia),-6.9,107.57,740,96781,-6.9,107.57,20191119030000,1015.9,-0.02,7.0,1015.0,90.0,4.1,27.2,17.2,8000.0,5.0,1.0,0.0,3.0,2.0,4.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,96791,Jatiwangi (Indonesia),-6.75,108.26,50,96791,-6.75,108.26,20191119030000,1010.6,-0.03,8.0,1010.0,130.0,1.0,34.2,23.9,10000.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,96797,Tegal (Indonesia),-6.86,109.12,10,96797,-6.86,109.12,20191119030000,1010.6,-0.03,8.0,1010.0,10.0,2.1,32.4,21.1,12000.0,2.0,1.0,1.0,4.0,2.0,5.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,96805,Cilacap (Indonesia),-7.64,109.05,6,96805,-7.64,109.05,20191119030000,1011.6,-0.03,8.0,1011.0,120.0,3.1,29.8,24.6,10000.0,2.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,96837,Semarang (Indonesia),-6.96,110.41,3,96837,-6.96,110.41,20191119030000,1010.4,-0.04,7.0,1010.0,40.0,2.6,33.4,21.3,9000.0,5.0,2.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,96839,Semarang / Ahmadyani (Indonesia),-6.97,110.37,3,96839,-6.97,110.37,20191119030000,1010.5,-0.04,5.0,1010.0,360.0,5.1,31.8,24.1,7000.0,2.0,1.0,1.0,6.0,2.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,96925,Sangkapura Bawean Island  (Indonesia),-5.85,112.65,3,96925,-5.85,112.65,20191119030000,1010.7,-0.04,8.0,1010.0,140.0,2.1,31.6,24.5,10000.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,96933,Surabaya / Perak (Indonesia),-7.21,112.71,3,96933,-7.21,112.71,20191119030000,1010.4,-0.11,8.0,1010.0,100.0,2.1,34.3,22.0,10000.0,2.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,96935,Surabaya / Juanda (Indonesia),-7.37,112.79,3,96935,-7.37,112.79,20191119030000,1010.3,-0.12,7.0,1010.0,60.0,2.6,33.2,23.9,8000.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,96937,Surabaya/Perak Ii (Indonesia),-7.21,112.71,3,96937,-7.21,112.71,20191119030000,1010.6,-0.06,8.0,1010.0,100.0,2.1,33.6,24.1,12000.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,96973,Kalianget Madura Island  (Indonesia),-7.05,113.96,3,96973,-7.05,113.96,20191119030000,1010.7,-0.04,7.0,1010.0,150.0,3.6,32.2,25.0,12000.0,2.0,1.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,96987,Banyuwangi (Indonesia),-8.21,114.38,5,96987,-8.21,114.38,20191119030000,1009.8,-0.09,8.0,1009.0,220.0,2.1,31.5,22.6,9000.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
